Listing Price (USD),"Length 
(ft)",Year,Draft(m),Displacement(t),Beam(m),Fuel capacity(L),Water tank(L),SA(m2)
0.150098067,45.8,2014,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.194727592,45.8,2017,0.191489362,0.610498288,0.763661202,0.580352073,0.342396777,0.649197861
0.046045694,43,2006,0.319148936,0.336059338,0.226775956,0.103918228,0.283484391,0.336363636
0.099371529,43,2009,0.106382979,0.418029669,0.678961749,0.387279955,0.342396777,0.604278075
0.142003515,45.8,2014,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.159578207,51,2012,0.191489362,0.669075694,0.853825137,0.535491198,0.473816717,0.501764706
0.18629174,45.8,2018,0.191489362,0.610498288,0.763661202,0.580352073,0.342396777,0.649197861
0.112126538,47,2009,0.10212766,0.421453024,0.760928962,0.239068711,0.436052367,0.527112299
0.036889279,45,2010,0.425531915,0.413084823,0.275956284,0.131743328,0.256797583,0.51368984
0.035149385,42,2009,0.50212766,0.33910232,0.25273224,0.063032368,0.16918429,0.290641711
0.036889279,45,2013,0.331914894,0.478889312,0.282786885,0.107893242,0.171198389,0.428770053
0.049209139,49,2011,0.319148936,0.473297832,0.303278689,0.12322544,0.273917422,0.496791444
0.016216169,40,2011,0.459574468,0.341574743,0.232240437,0.103350369,0.181268882,0.347058824
0.043233743,40,2013,0.489361702,0.410422214,0.258196721,0.080636002,0.166163142,0.43315508
0.080843585,45,2015,0.514893617,0.362761506,0.303278689,0.097103918,0.277945619,0.443315508
0.048249912,46,2015,0.54893617,0.410764549,0.301912568,0.124929018,0.298590131,0.405882353
0.00980949,38,2007,0.361702128,0.315329022,0.200819672,0.080636002,0.211480363,0.132085561
0.080204569,49,2006,0.829787234,0.494104222,0.31420765,0.165814878,0.266364552,0.652299465
0.158172232,56,2006,0.531914894,0.669075694,0.370218579,0.500851789,0.493454179,0.799465241
0.223198594,45.8,2017,0.191489362,0.610498288,0.763661202,0.580352073,0.342396777,0.649197861
0.038664323,40,2009,0.404255319,0.313807531,0.222677596,0.103918228,0.171198389,0.247433155
0.103690685,39,2016,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.113884007,45.8,2013,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.103690685,39,2016,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.057996134,39,2017,0.127659574,0.35488779,0.606557377,0.194207836,0.382678751,0.421925134
0.103690334,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.068540949,42.5,2016,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.103690334,48,2016,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.117750088,48,2017,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.04393638,40,2018,0.468085106,0.321034614,0.262295082,0.103350369,0.27693857,0.357219251
0.029876626,40,2018,0.468085106,0.321034614,0.262295082,0.103350369,0.27693857,0.357219251
0.04393638,40,2018,0.787234043,0.710916698,0.359289617,0.202725724,0.336858006,0.622032086
0.029876626,40,2018,0.787234043,0.710916698,0.359289617,0.202725724,0.336858006,0.622032086
0.049173989,49,2006,0.553191489,0.529669076,0.326502732,0.17149347,0.317220544,0.486631016
0.221441125,52,2012,0.106382979,0.391403576,0.81284153,0.27370812,0.392749245,0.577540107
0.193604218,43.6,2016,0.085106383,0.410422214,0.699453552,0.256104486,0.367573011,0.283208556
0.052375395,40,2009,0.106382979,0.338151388,0.607923497,0.160136286,0.256797583,0.379679144
0.124830228,45.8,2012,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.084358524,39,2010,0.14893617,0.441232408,0.678961749,0.216922203,0.29204431,0.327807487
0.07029877,37.5,2014,0.038297872,0.346899962,0.510928962,0.187393526,0.382678751,0.40144385
0.099824253,39,2016,0.127659574,0.35488779,0.606557377,0.194207836,0.382678751,0.421925134
0.099824253,39,2016,0.127659574,0.35488779,0.606557377,0.194207836,0.382678751,0.421925134
0.110369069,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.047100176,38,2018,0.480851064,0.260174971,0.233606557,0.063600227,0.055387714,0.260427807
0.173989455,43.6,2017,0.085106383,0.410422214,0.699453552,0.256104486,0.367573011,0.283208556
0.170123023,43.6,2017,0.085106383,0.410422214,0.699453552,0.256104486,0.367573011,0.283208556
0.193321617,49,2016,0.127659574,0.588056295,0.780054645,0.522998296,0.342396777,0.550481283
0.142003515,48,2006,0.191489362,0.758843667,0.795081967,0.580352073,0.231621349,0.679144385
0.064674868,38,2014,0.085106383,0.275770255,0.580601093,0.103350369,0.140986908,0.320962567
0.052724077,39,2010,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.068541301,39,2013,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.155028471,39,2019,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.15483304,39,2019,0.110638298,0.388360593,0.678961749,0.217490062,0.140483384,0.357700535
0.09305413,41,2008,0.136170213,0.276531,0.711748634,0.159568427,0.165156093,0.311016043
0.092822144,41,2008,0.136170213,0.276531,0.711748634,0.159568427,0.165156093,0.311016043
0.142355009,45.8,2013,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.124830228,45.8,2014,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.158172232,45.8,2015,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.170123023,45.8,2017,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.1771529,45.8,2018,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.231274517,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.230100176,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.219095606,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.218595079,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.217926186,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.191564148,45.8,2019,0.14893617,0.570178775,0.763661202,0.580919932,0.165156093,0.603636364
0.142003515,45.8,2013,0.14893617,0.589197413,0.767759563,0.580352073,0.342396777,0.470588235
0.149033392,45.8,2014,0.14893617,0.589197413,0.767759563,0.580352073,0.342396777,0.470588235
0.364560633,48,2019,0.255319149,0.684290605,0.941256831,0.580352073,0.473313192,0.78342246
0.049209139,37.5,2010,0.072340426,0.34119437,0.510928962,0.187393526,0.382678751,0.40144385
0.0228471,37.5,2014,0.038297872,0.346899962,0.510928962,0.187393526,0.382678751,0.40144385
0.021089631,37.5,2014,0.038297872,0.346899962,0.510928962,0.187393526,0.382678751,0.40144385
0.107205624,42.5,2012,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.107205624,42.5,2012,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.094903339,42.5,2012,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.10685413,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.103339192,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.103339192,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.099824253,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.099824253,42.5,2015,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.120913884,42.5,2016,0.136170213,0.479650057,0.678961749,0.387279955,0.382678751,0.566363636
0.028471002,46,2011,0.170212766,0.417268924,0.722677596,0.394094265,0.382678751,0.7
0.024604569,47,2008,0.157446809,0.38645873,0.698087432,0.329358319,0.39224572,0.571818182
0.15254833,48,2013,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.142003515,48,2013,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.142003515,48,2013,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.131458699,48,2013,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.144112478,48,2014,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
0.142003515,48,2014,0.221276596,0.646253328,0.732240437,0.387279955,0.382678751,0.681122995
